City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
203,Dwarka,IN,84.11,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
205,Marsh Harbour,BS,84.97,overcast clouds,26.54,-77.06,Abaco Beach Resort
212,Lancaster,US,77.0,clear sky,40.25,-76.25,Refreshing Mountain Retreat and Adventure Center
216,Sanchez,DO,86.0,scattered clouds,19.23,-69.61,Apartamentos Rincon La Roca
218,San Pedro,PH,84.2,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
219,Phan Thiet,VN,79.34,light rain,10.93,108.1,Hotel Saigon-PT
220,Arraial Do Cabo,BR,84.2,overcast clouds,-22.97,-42.03,Pousada Porto Praia
223,Shingu,JP,79.09,moderate rain,33.73,135.98,Shingu UI Hotel
224,Bartica,GY,87.8,scattered clouds,6.4,-58.62,La Vista Hotel and Apartment
225,San-Pedro,CI,77.32,broken clouds,4.75,-6.64,Hotel Maria
229,Port Moresby,PG,78.8,scattered clouds,-9.44,147.18,Lamana Hotel
234,Centerville,US,75.99,clear sky,39.63,-84.16,"Country Inn & Suites by Radisson, Dayton South, OH"
235,Ambulu,ID,75.38,scattered clouds,-8.35,113.61,Hotel Ambulu Jember
238,Tateyama,JP,77.0,broken clouds,34.98,139.87,Tateyama Seaside Hotel
240,Matara,LK,76.78,overcast clouds,5.95,80.54,Amaloh Boutique Resort
241,Bull Savanna,JM,84.76,few clouds,17.89,-77.59,Big Red's
243,Chiang Klang,TH,77.52,overcast clouds,19.29,100.86,Sangthongresort
245,Acapulco,MX,82.4,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
247,Pailon,BO,86.0,broken clouds,-17.65,-62.75,Alojamiento pailon
250,Salinopolis,BR,84.16,light rain,-0.61,-47.36,Hotel Salinópolis
254,Orange Cove,US,87.01,clear sky,36.62,-119.31,
258,Coahuayana,MX,75.2,broken clouds,18.73,-103.68,Hotel Los Arcos
264,Kavaratti,IN,81.91,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
265,Santa Ana Arriba,DO,84.2,scattered clouds,19.3,-70.35,Cementerio de madrid
267,San Jeronimito,MX,80.6,broken clouds,17.55,-101.33,Quinta Mamá Pía
269,San Policarpo,PH,81.3,broken clouds,12.18,125.51,Zal-Ann Beach Resort
273,Iberia,US,84.2,clear sky,29.95,-91.75,back to back rv park
274,San Andres,CO,87.8,scattered clouds,12.58,-81.7,Hotel Arena Blanca
276,Wanning,CN,82.47,light rain,18.8,110.4,Paradise Hotel
281,Vaitape,PF,78.39,light rain,-16.52,-151.75,Conrad Bora Bora Nui
283,Mariana,BR,84.67,clear sky,-20.38,-43.42,MINAS POUSADA E HOTEL LTDA
284,Nador,MA,80.6,scattered clouds,35.17,-2.93,Hôtel La Giralda
288,Vila Do Maio,CV,82.4,broken clouds,15.13,-23.22,Residence 'I Delfini'
290,Cubara,CO,88.57,few clouds,7.0,-72.11,Hotel Los Amigos
291,Palu,ID,76.23,light rain,-0.89,119.87,Hotel Santika Palu
296,Santo Domingo,DO,87.8,scattered clouds,18.5,-69.99,Micro Hotel Condo Suites
297,Cabo San Lucas,MX,82.99,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
298,Holetown,BB,87.8,scattered clouds,13.19,-59.64,The Palms Resort
304,Veraval,IN,83.08,overcast clouds,20.9,70.37,Lords Inn Somnath
308,Ciudad Bolivar,VE,89.02,scattered clouds,8.12,-63.55,Hotel Edi
316,Cayhagan,PH,81.21,moderate rain,9.67,122.43,Melrose Beach Resort
319,Gunjur,GM,78.8,broken clouds,13.2,-16.73,Kuba Lodge
320,Soto La Marina,MX,75.0,moderate rain,23.77,-98.22,Hotel Chicago
324,Douglas,US,87.01,clear sky,41.3,-96.17,Hilton Garden Inn Omaha West
325,Langsa,ID,75.61,overcast clouds,4.47,97.97,OYO 2964 Hotel Ridho
326,El Fuerte,MX,86.43,clear sky,26.42,-108.62,Hotel Rio Vista
327,Avera,US,82.4,clear sky,33.19,-82.53,
329,Rancho Palos Verdes,US,90.0,clear sky,33.74,-118.39,Terranea Resort
332,Chickasha,US,84.2,clear sky,35.05,-97.94,Holiday Inn Express & Suites Chickasha
334,Harindanga,IN,87.8,haze,22.04,88.32,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
335,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
339,Majene,ID,77.76,overcast clouds,-3.54,118.97,Kost Putri RABBANI
340,West Wendover,US,75.2,clear sky,40.74,-114.07,"Motel 6 Wendover, UT"
344,Nueva Loja,EC,84.2,scattered clouds,0.08,-76.88,Limoncocha Great Hotel
347,Nalagarh,IN,79.48,clear sky,31.05,76.72,Fort Nalagarh
352,Tutoia,BR,87.55,clear sky,-2.76,-42.27,Pousada Guará's
353,Hamilton,US,79.0,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
354,Dicabisagan,PH,79.68,overcast clouds,17.08,122.42,Nancy Montanes Bernardo
355,Muisne,EC,78.8,broken clouds,0.6,-80.03,Quinta Samay
361,Mantenopolis,BR,80.64,scattered clouds,-18.86,-41.12,Deed's Hotel
