City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Pandan,PH,2020-09-03 17:51:21,14.05,124.17,81.05,82,88,5.19
230,Shingu,JP,2020-09-03 17:51:21,33.73,135.98,75.74,89,99,2.98
231,Qorveh,IR,2020-09-03 17:51:21,35.17,47.8,65.16,35,70,4.7
232,Bolotnoye,RU,2020-09-03 17:51:21,55.67,84.4,51.04,89,97,10.07
233,Loma Bonita,PA,2020-09-03 17:51:22,8.38,-80.17,78.01,73,30,6.67
234,Surt,LY,2020-09-03 17:51:22,31.21,16.59,80.8,82,0,19.1
235,Kushima,JP,2020-09-03 17:51:22,31.46,131.23,75.0,94,100,4.85
236,Mehamn,NO,2020-09-03 17:51:22,71.04,27.85,60.8,51,37,13.87
237,Abeche,TD,2020-09-03 17:51:22,13.83,20.83,78.93,65,95,4.29
238,Jardim,BR,2020-09-03 17:51:23,-21.48,-56.14,91.54,31,14,5.21
239,Catamarca,AR,2020-09-03 17:51:23,-28.47,-65.79,75.0,37,0,5.99
240,Khani,GE,2020-09-03 17:51:23,41.96,42.96,75.2,94,3,5.82
241,Guanaja,HN,2020-09-03 17:51:23,16.4,-85.9,86.0,74,75,17.22
242,Kluczbork,PL,2020-09-03 17:51:23,50.97,18.22,59.16,72,55,5.46
243,Lavrentiya,RU,2020-09-03 17:51:24,65.58,-171.0,39.61,86,100,9.35
244,Pasighat,IN,2020-09-03 17:51:24,28.07,95.33,78.17,79,62,2.64
245,Tanete,ID,2020-09-03 17:51:24,-3.94,119.78,74.19,91,95,4.47
246,Calama,CL,2020-09-03 17:51:24,-22.47,-68.93,69.8,3,0,16.11
247,Sioux Lookout,CA,2020-09-03 17:51:25,50.1,-91.92,57.2,67,75,20.8
248,Hoyerswerda,DE,2020-09-03 17:51:25,51.43,14.25,66.99,60,96,4.88
249,Kruisfontein,ZA,2020-09-03 17:51:25,-34.0,24.73,61.0,80,38,5.01
250,Faanui,PF,2020-09-03 17:51:25,-16.48,-151.75,77.25,79,37,17.49
251,Laguna,US,2020-09-03 17:51:25,38.42,-121.42,73.0,72,1,5.82
252,Adrar,MR,2020-09-03 17:51:26,20.5,-10.07,105.15,16,19,14.36
253,Vao,NC,2020-09-03 17:51:26,-22.67,167.48,65.48,72,44,22.3
254,Lasa,IT,2020-09-03 17:51:26,46.62,10.7,62.01,44,5,1.12
255,Hambantota,LK,2020-09-03 17:51:26,6.12,81.12,81.75,78,27,14.25
256,Lubango,AO,2020-09-03 17:51:27,-14.92,13.49,63.81,48,69,1.9
257,Pinawa,CA,2020-09-03 17:51:27,50.15,-95.88,50.0,68,72,15.57
258,Sorong,ID,2020-09-03 17:51:27,-0.88,131.25,78.49,84,96,5.14
259,Brokopondo,SR,2020-09-03 17:51:27,4.75,-55.17,89.35,54,5,1.07
260,Mattru,SL,2020-09-03 17:51:27,7.62,-11.83,78.96,76,58,7.2
261,Itarema,BR,2020-09-03 17:51:28,-2.92,-39.92,84.09,55,37,19.66
262,Axim,GH,2020-09-03 17:51:28,4.87,-2.24,76.44,85,38,9.78
263,Biltine,TD,2020-09-03 17:51:28,14.53,20.92,80.89,63,99,7.2
264,Mount Abu,IN,2020-09-03 17:51:28,24.59,72.71,67.82,100,94,3.31
265,Port Hardy,CA,2020-09-03 17:51:28,50.7,-127.42,57.2,87,75,6.93
266,Nhulunbuy,AU,2020-09-03 17:51:29,-12.23,136.77,69.8,94,2,9.6
267,Ozernovskiy,RU,2020-09-03 17:51:29,51.5,156.52,52.27,94,100,8.66
268,Alofi,NU,2020-09-03 17:51:29,-19.06,-169.92,75.2,100,100,5.82
269,Tessalit,ML,2020-09-03 17:51:30,20.2,1.01,84.67,43,57,21.14
