,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
122,Atambua,ID,-9.11,124.89,67.96,85,37,4.88,scattered clouds
123,Dingle,PH,11.0,122.67,78.04,89,86,3.02,overcast clouds
124,Te Karaka,NZ,-38.47,177.87,54.27,81,100,6.02,light rain
125,Lebu,CL,-37.62,-73.65,53.62,69,0,11.68,clear sky
126,Kahului,US,20.89,-156.47,75.2,78,20,8.05,few clouds
127,Butaritari,KI,3.07,172.79,83.03,71,100,18.66,overcast clouds
128,Victoria,HK,22.29,114.16,84.0,84,95,8.08,overcast clouds
129,Touros,BR,-5.2,-35.46,86.0,51,75,11.41,broken clouds
130,San Patricio,MX,19.22,-104.7,86.0,79,40,6.93,scattered clouds
131,Sola,VU,-13.88,167.55,79.34,85,93,22.59,light rain
132,Aleksandrovsk-Sakhalinskiy,RU,50.9,142.16,62.17,80,100,12.5,overcast clouds
133,Talakan,RU,50.32,130.37,56.37,93,0,2.93,clear sky
134,Huarmey,PE,-10.07,-78.15,66.51,65,97,8.79,overcast clouds
135,Chuy,UY,-33.7,-53.46,57.76,68,0,12.55,clear sky
136,Tsaratanana,MG,-16.78,47.65,70.47,51,44,10.78,scattered clouds
137,Tukrah,LY,32.53,20.58,79.56,63,0,14.5,clear sky
138,Port Elizabeth,ZA,-33.92,25.57,60.8,82,20,4.7,few clouds
139,Xuddur,SO,4.12,43.89,79.3,55,86,12.73,overcast clouds
140,Oron,NG,4.83,8.23,77.94,86,99,8.01,light rain
141,Laje,BR,-10.18,-40.97,85.82,28,0,13.18,clear sky
142,Naze,JP,28.37,129.48,80.6,88,75,24.16,broken clouds
143,Heihe,CN,50.24,127.49,57.2,93,20,4.47,few clouds
144,Faya,SA,18.39,42.45,82.4,14,20,10.29,few clouds
145,Dikson,RU,73.51,80.55,42.19,80,59,17.36,broken clouds
146,Saint-Pierre,RE,-21.34,55.48,69.8,83,45,4.7,scattered clouds
147,Sarnen,CH,46.9,8.25,60.8,82,90,3.36,light rain
148,Niimi,JP,34.98,133.47,79.0,90,100,8.99,moderate rain
149,Halifax,CA,44.65,-63.57,73.0,54,0,5.01,clear sky
150,Nanortalik,GL,60.14,-45.24,45.43,93,100,13.02,light rain
151,Margate,GB,51.38,1.39,64.99,57,37,1.01,light rain
152,Ancud,CL,-41.87,-73.82,51.01,92,0,1.01,clear sky
153,Rio Verde De Mato Grosso,BR,-18.92,-54.84,101.71,11,31,5.55,scattered clouds
154,Madingou,CG,-4.15,13.55,81.01,60,97,7.14,overcast clouds
155,Klaksvik,FO,62.23,-6.59,48.2,76,99,13.87,overcast clouds
156,Richards Bay,ZA,-28.78,32.04,67.46,66,86,10.92,overcast clouds
157,Qaanaaq,GL,77.48,-69.36,29.82,83,14,2.62,few clouds
158,Worland,US,44.02,-107.96,78.01,26,1,10.45,haze
159,La Libertad,EC,-2.23,-80.9,75.2,73,40,8.05,scattered clouds
160,Nikolskoye,RU,59.7,30.79,61.0,77,75,6.71,broken clouds
161,Santa Maria,BR,-29.68,-53.81,59.0,93,90,10.29,light rain
162,Ribeira Grande,PT,38.52,-28.7,73.4,53,40,19.46,scattered clouds
163,Buala,SB,-8.14,159.59,80.19,81,35,6.42,light rain
164,Whitehorse,CA,60.72,-135.05,30.2,92,5,1.52,fog
165,Arkadelphia,US,34.12,-93.05,80.01,83,1,3.96,clear sky
166,Hasaki,JP,35.73,140.83,75.2,100,75,4.7,broken clouds
167,Izumo,JP,35.37,132.77,84.2,66,75,17.22,broken clouds
168,Wagar,SD,16.15,36.2,100.42,24,0,6.67,clear sky
169,Te Anau,NZ,-45.42,167.72,34.83,88,10,1.66,clear sky
170,Ordu,TR,40.91,37.68,77.0,83,20,11.41,few clouds
171,San Luis,AR,-33.3,-66.34,57.04,49,59,11.18,broken clouds
172,Pombas,CV,17.15,-25.02,87.8,62,40,27.51,scattered clouds
173,Carnarvon,AU,-24.87,113.63,66.2,82,100,5.82,overcast clouds
174,Sao Filipe,CV,14.9,-24.5,78.39,79,77,10.71,broken clouds
175,Provideniya,RU,64.38,-173.3,40.32,82,100,8.88,overcast clouds
176,Nouadhibou,MR,20.93,-17.03,89.6,55,100,14.99,light rain
177,Atar,MR,20.52,-13.05,98.56,29,83,16.2,broken clouds
